PackageID,Weight_kg,Profit_INR,Location
WES-101,44,1364,Karol Bagh, Delhi
WES-102,37,925,Saket, Delhi
WES-103,41,1845,Ghaziabad, Indirapuram
WES-104,17,663,Sohna Road, Gurgaon
WES-105,50,1450,Sector 29, Gurgaon
WES-106,27,1269,Janakpuri, Delhi
WES-107,22,726,Hauz Khas, Delhi
WES-108,22,946,Sector 62, Noida
WES-109,7,266,Lajpat Nagar, Delhi
WES-110,36,1656,Noida City Centre
WES-111,40,920,Vasant Kunj, Delhi
WES-112,50,1100,Sohna Road, Gurgaon
WES-113,44,2068,Dwarka Sector 10, Delhi
WES-114,41,1230,Pitampura, Delhi
WES-115,24,672,Sector 18, Noida
WES-116,34,1666,Ghaziabad, Indirapuram
WES-117,24,648,Faridabad Sector 15
WES-118,47,1175,Sector 62, Noida
WES-119,7,147,Ghaziabad, Indirapuram
WES-120,13,559,Sohna Road, Gurgaon
WES-121,23,897,Sector 29, Gurgaon
WES-122,15,675,Lajpat Nagar, Delhi
WES-123,9,189,Sector 15, Noida
WES-124,42,1344,Hauz Khas, Delhi
