PackageID,Weight_kg,Profit_INR,Location
AIR-101,18,900,Greater Noida, Pari Chowk
AIR-102,6,264,Noida City Centre
AIR-103,16,416,Sohna Road, Gurgaon
AIR-104,39,1638,Hauz Khas, Delhi
AIR-105,25,1200,Connaught Place, Delhi
AIR-106,30,1350,Sector 62, Noida
AIR-107,34,1292,Janakpuri, Delhi
AIR-108,36,900,Cyber Hub, Gurgaon
AIR-109,45,2070,Cyber Hub, Gurgaon
AIR-110,15,315,Dwarka Sector 10, Delhi
AIR-111,25,1200,Greater Noida, Pari Chowk
AIR-112,29,609,Connaught Place, Delhi
AIR-113,33,1551,Faridabad Sector 15
AIR-114,50,2400,Karol Bagh, Delhi
AIR-115,11,517,Pitampura, Delhi
AIR-116,42,1260,Sector 18, Noida
AIR-117,12,336,Sector 18, Noida
AIR-118,15,360,Sector 62, Noida
AIR-119,35,1470,Lajpat Nagar, Delhi
AIR-120,10,420,Karol Bagh, Delhi
AIR-121,23,621,Lajpat Nagar, Delhi
AIR-122,50,1750,Cyber Hub, Gurgaon
